0.5 0.3; 30.0 30.0 30.0 -60.0; 0.2 0.2 0.2 0.2
0.5 0.3; 30.0060698 29.97306525 30.02276176 -59.94271624; 0.19998083 0.19999847 0.19999845 0.19997587
0.5 0.3; 30.01213961 29.9461305 30.04552352 -59.88543247; 0.19996167 0.19999695 0.19999691 0.19995174
0.5 0.3; 30.01820941 29.91919575 30.06828528 -59.82814871; 0.1999425 0.19999542 0.19999536 0.1999276
0.5 0.3; 30.02427921 29.892261 30.09104704 -59.77086495; 0.19992333 0.1999939 0.19999382 0.19990347
0.5 0.3; 30.03034901 29.86532625 30.1138088 -59.71358118; 0.19990417 0.19999237 0.19999227 0.19987934
0.5 0.3; 30.03641882 29.8383915 30.13657056 -59.65629742; 0.199885 0.19999085 0.19999073 0.19985521
0.5 0.3; 30.04248862 29.81145675 30.15933232 -59.59901366; 0.19986583 0.19998932 0.19998918 0.19983108
0.5 0.3; 30.04855842 29.784522 30.18209408 -59.54172989; 0.19984666 0.1999878 0.19998764 0.19980694
0.5 0.3; 30.05462822 29.75758725 30.20485584 -59.48444613; 0.1998275 0.19998627 0.19998609 0.19978281
0.5 0.3; 30.06069803 29.7306525 30.2276176 -59.42716237; 0.19980833 0.19998475 0.19998455 0.19975868
0.5 0.3; 30.06676783 29.70371775 30.25037936 -59.3698786; 0.19978916 0.19998322 0.199983 0.19973455
0.5 0.3; 30.07283763 29.676783 30.27314112 -59.31259484; 0.19977 0.1999817 0.19998146 0.19971042
0.5 0.3; 30.07890744 29.64984825 30.29590288 -59.25531108; 0.19975083 0.19998017 0.19997991 0.19968629
0.5 0.3; 30.08497724 29.62291351 30.31866464 -59.19802731; 0.19973166 0.19997865 0.19997837 0.19966215
0.5 0.3; 30.09104704 29.59597876 30.3414264 -59.14074355; 0.1997125 0.19997712 0.19997682 0.19963802
0.5 0.3; 30.09711684 29.56904401 30.36418816 -59.08345979; 0.19969333 0.19997559 0.19997528 0.19961389
0.5 0.3; 30.10318665 29.54210926 30.38694992 -59.02617602; 0.19967416 0.19997407 0.19997373 0.19958976
0.5 0.3; 30.10925645 29.51517451 30.40971168 -58.96889226; 0.199655 0.19997254 0.19997219 0.19956563
0.5 0.3; 30.11532625 29.48823976 30.43247344 -58.9116085; 0.19963583 0.19997102 0.19997064 0.19954149
0.5 0.3; 30.12139605 29.46130501 30.4552352 -58.85432473; 0.19961666 0.19996949 0.1999691 0.19951736
0.5 0.3; 30.12746586 29.43437026 30.47799697 -58.79704097; 0.19959749 0.19996797 0.19996755 0.19949323
0.5 0.3; 30.13353566 29.40743551 30.50075873 -58.73975721; 0.19957833 0.19996644 0.19996601 0.1994691
0.5 0.3; 30.13960546 29.38050076 30.52352049 -58.68247344; 0.19955916 0.19996492 0.19996446 0.19944497
0.5 0.3; 30.14567527 29.35356601 30.54628225 -58.62518968; 0.19953999 0.19996339 0.19996292 0.19942083
